market,tp1,tp2,tp3,tp4,tp5,tp6,tp7,tp8,tp9,tp10,tp11,tp12,tp13,tp14,tp15,tp16,tp17,tp18,tp19,tp20,tp21,tp22,tp23,tp24,tp25,tp26,tp27,tp28,tp29,tp30,tp31,tp32,tp33,tp34,tp35,tp36,tp37,tp38,tp39,tp40,tp41,tp42,tp43,tp44,tp45,tp46,tp47,tp48,LONGITUDE,LATITUDE
322001,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.01,NaN,28,32,NaN,NaN,NaN,NaN,86.7516942,21.9322338
322002,4.32,4.32,4.83,4.02,4.83,3.9,4.41,2.01,2.01,0.4,5.18,6,7.98,2.79,2.4,2.8,4.8,3.21,4.8,3.21,6.42,NaN,NaN,NaN,NaN,5.6,10.4,10.4,11.6,5,13.6,10.57,12.39,12.39,8.6,3.57,10.62,8.64,6.8,14.4,10.62,8.6,10.8,8.6,11.97,10.38,10.2,11.83,86.8431671,21.7399401
322003,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.589276,21.6029589
322004,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,85.9738752,21.7633498
322005,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,86.5943203,22.2461088
322006,35.98,35.98,18,32,20,28.98,42,23,36,28.98,40,24,32.97,30.03,38,25.02,38,22,39.97,39.04,30,25,35.98,25,38,28.98,36,35.04,32.96,25.98,45.99,39.97,53.97,43.98,44.03,25,12,42,37.02,55.04,47.04,53.97,58.03,49.02,59.04,42,62,64.96,86.5653087,21.5771624
323001,3,3,5,NaN,3.51,2,3,NaN,NaN,NaN,2.5,NaN,2.5,NaN,NaN,NaN,3,1.5,NaN,NaN,NaN,NaN,NaN,NaN,1,NaN,1,3.99,2,NaN,2,0.5,1,NaN,NaN,2,1.5,NaN,1,1.5,1,NaN,1,NaN,NaN,NaN,NaN,NaN,82.3017728,19.5001322
323002,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.99,2.5,2.5,1.5,2.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,82.2121421,19.664737
324001,190,190,184,187.04,192.96,165.97,188.96,123,172.97,123,182,180.96,157.01,154.98,187.04,151.97,179.04,111,147.04,160,136.01,129.99,142,129.99,85,108.99,116.96,101.01,123.04,101.99,111.02,124,124,105.98,127.04,105.98,108.01,104.02,122,115.04,112.96,88.98,120,98.98,119.04,103.53,116.48,120.96,84.9219115,20.0764351
324002,91.04,91.04,92.96,90,91.04,69.02,92.96,59,69.02,75,92,86,73.01,80.01,73.01,61.98,83.04,54,83.04,70.98,72.03,56,70,56.98,49.98,35,50,45.99,67.04,39.97,49.98,59.04,63.04,56.98,62,52.01,60,55.02,62,64,62,48,58,46.97,50,45,52.96,55.04,85.0869739,20.0409965
